389;397751;68.964;8639;08.maj;4360000;97;20920;en;Drama;United Artists#Orion-Nova Productions;US;English
62;12000000;53.266;11481;08.sty;71923560;149;24930;en;Science Fiction#Mystery#Adventure;Kubrick Productions#Metro-Goldwyn-Mayer;GB#US;English#Russian
20453;9000000;41.985;2368;8;70000000;171;40170;hi;Drama#Comedy;Vidhu Vinod Chopra Productions#Vinod Chopra Films;IN;English#Thai
453;58000000;38.403;10139;07.wrz;316800000;135;37239;en;Drama#Romance;Universal Pictures#DreamWorks Pictures#Imagine Entertainment;US;English
185;2200000;83.878;12808;08.lut;27033812;137;26286;en;Science Fiction#Crime;Warner Bros. Pictures#Hawk Films#Kubrick Productions#Polaris Productions Limited;GB;English
702;1800000;24.528;1342;07.cze;8000000;125;18890;en;Drama#Thriller;Charles K. Feldman Group#Warner Bros. Pictures;US;English
348;11000000;152.212;14731;8.158;104931801;117;29000;en;Horror#Science Fiction;20th Century Fox#Brandywine Productions;US;English#Espaniol
705;1400000;15.332;1517;08.sty;8400000;139;18576;en;Drama;20th Century Fox;US;English#French
143;1448864;26.375;790;lip.76;3270000;133;11077;en;Drama#War;Universal Pictures;US;French#Deutsch#Latin#English
279;18000000;42.024;4220;8;90000000;180;30944;en;History#Music#Drama;The Saul Zaentz Company;US;English#Deutsch#Italiano#Latin
14;15000000;30.072;11995;8;356296601;122;36418;en;Drama;DreamWorks Pictures#Jinks/Cohen Company;US;English
73;20000000;42.587;11515;8.344;23900000;119;35977;en;Drama;New Line Cinema#Savoy Pictures#The Turman-Morrissey Company;US;English
55;2000000;25.722;2584;07.cze;20908467;154;36693;es;Drama#Thriller;Altavista Films#Zeta Film;MX;Espaniol
93;2000000;14.131;954;07.sie;8000000;161;21732;en;Crime#Drama#Mystery;Columbia Pictures#Otto Preminger Films;US;English
703;4000000;17.553;3862;07.lip;38288028;93;28234;en;Comedy#Drama#Romance;United Artists#Rollins-Joffe Productions;US;English#Deutsch
28;31500000;67.699;8198;8.277;150000000;147;29082;en;Drama#War;United Artists#American Zoetrope;US;#English#French#Vietnameese
212;1120175;11.319;926;7.635;0;118;16316;en;Comedy#Crime;Warner Bros. Pictures;US;English
105;19000000;90.538;19877;08.mar;381109762;116;31231;en;Adventure#Comedy#Science Fiction;Universal Pictures#Amblin Entertainment;US;English
3175;11000000;29.992;2803;8.003;260131;185;27746;en;Drama#Romance#War#History;Warner Bros. Pictures#Hawk Films#Peregrine;GB#US;Deutsch#French#English
272;150000000;123.809;20905;7.709;374218673;140;38513;en;Action#Crime#Drama;Warner Bros. Pictures#DC#Syncopy#Legendary Pictures#Patalex III Productions Limited;GB#US;English#LEEG#Chinese
10020;25000000;90.838;9890;07.lip;424967620;84;33533;en;Romance#Family#Animation#Fantasy;Walt Disney Pictures#Silver Screen Partners IV#Walt Disney Feature Animation;US;French#English
76;2500000;29.469;4109;8;5987386;101;34726;en;Drama#Romance;Castle Rock Entertainment#Detour Filmproduction#Filmhaus Films;AT#US;English#Deutsch#French
665;15000000;55.701;2745;07.wrz;164000000;222;21872;en;History#Drama#Adventure#Action;Metro-Goldwyn-Mayer;US;English
44214;13000000;54.481;14403;7.687;329398046;109;40515;en;Drama#Thriller#Horror;Fox Searchlight Pictures#Cross Creek Pictures#Protozoa Pictures#Phoenix Pictures#Dune Entertainment;US;English#French#Italiano
78;28000000;66.236;13722;07.wrz;41722424;118;30127;en;Science Fiction#Drama#Thriller;Shaw Brothers#The Ladd Company#Warner Bros. Pictures;US#HK#GB;English#Deutsch#Chinese3#Chinese2#Magyar
197;72000000;77.438;10079;7.941;213200000;177;34843;en;Action#Drama#History#War;Icon Entertainment International#The Ladd Company#B.H. Finance C.V.;US;English#French#Latin
642;6000000;23.026;2171;07.cze;102308889;111;25469;en;Western#Adventure;Campanile Productions#20th Century Fox#George Roy Hill-Paul Monash Production#Newman-Foreman Company;US;English#Espaniol
289;878000;40.587;5427;sie.16;10462500;102;15721;en;Drama#Romance;Warner Bros. Pictures;US;Deutsch#French#Italiano#English
524;50000000;63.126;5787;8;116112375;179;35025;en;Crime#Drama;Universal Pictures#Syalis DA#Légende Films#Cappa/De Fina Productions;FR#US;English
829;6000000;38.633;3798;7.913;30000000;130;27200;en;Crime#Drama#Mystery#Thriller;Paramount Pictures#Long Road Productions#Robert Evans Company;US;Espaniol#Chinese3#English
598;3300000;86.415;7369;8.425;30641770;129;37498;pt;Drama#Crime;O2 Filmes#VideoFilmes#Wild Bunch#Hank Levine Film & Music#Globo Filmes#Lumière;BR#FR#DE;Portugeese
15;839727;31.37;5493;8.008;23218000;119;15083;en;Mystery#Drama;Mercury Productions#RKO Radio Pictures;US;English
901;1500000;15.134;2160;8.279;4250000;87;11360;en;Comedy#Drama#Romance;Charles Chaplin Productions;US;No Language
903;3200000;22.432;1407;07.lip;16217773;127;24777;en;Action#Drama#Crime;Warner Bros.-Seven Arts#Jalem Productions;US;English
562;28000000;56.794;11071;07.sie;140767956;132;32339;en;Action#Thriller;Gordon Company#Silver Pictures#20th Century Fox;US;English#Deutsch#Italiano
17654;30000000;60.379;9417;07.kwi;210888950;112;40030;en;Science Fiction;TriStar Pictures#Block / Hanson#WingNut Films#District 9;NZ#ZA#US;Afrikaans#isiZulu#English
68718;100000000;66.973;26172;08.lut;425368238;165;41268;en;Drama#Western;The Weinstein Company#Columbia Pictures;US;English#French#Deutsch
968;1800000;24.27;2944;lip.84;46665856;125;27658;en;Crime#Drama#Thriller;Artists Entertainment Complex#Warner Bros. Pictures;US;English
141;4500000;52.578;12380;07.sie;7500000;114;36910;en;Fantasy#Drama#Mystery;Flower Films#Gaylord Films#Adam Fields Productions#Pandora Cinema;US;English
996;927262;16.393;1784;08.sty;2500000;107;16259;en;Crime#Thriller;Paramount Pictures;US;English
935;1800000;44.333;5596;8.118;9500000;95;23405;en;Comedy#War;Hawk Films;GB;English
1417;19000000;51.238;10492;07.sie;83258226;118;39000;es;Fantasy#Drama#War;Estudios Picasso#Esperanto Filmoj#Tequila Gang#Telecinco Cinema;MX#ES#US;Espaniol
38;20000000;83.948;14903;08.sty;72258126;108;38065;en;Science Fiction#Drama#Romance;Focus Features#Anonymous Content#This is that;US;English
5961;6000000;22.676;762;07.sie;6800000;188;30302;sv;Fantasy#Drama#Mystery;Cinematograph AB#Svenska Filminstitutet#SVT#Gaumont#Personafilm#Tobis;SE#DE#FR;English#Deutsch#svenska
275;7000000;32.134;8020;07.wrz;60611975;98;35132;en;Crime#Drama#Thriller;PolyGram Filmed Entertainment#Working Title Films;GB#US;English
309;1300000;15.338;1065;lip.74;0;105;35965;da;Drama;DR#SVT#Nimbus Film;DK#SE;Dansk#Deutsch#English
550;63000000;108.158;29369;8.438;100853753;139;36448;en;Drama;Fox 2000 Pictures#Regency Enterprises#The Linson Company#20th Century Fox#Taurus Film;DE#US;English
12;94000000;99.87;19196;7.819;940335536;100;37771;en;Animation#Family;Pixar;US;English
13;55000000;104.326;27419;08.maj;677387716;142;34508;en;Comedy#Drama#Romance;Paramount Pictures#The Steve Tisch Company#Wendy Finerman Productions;US;English
600;30000000;126.928;10432;08.sty;46357676;117;31954;en;Drama#War;Natant#Kubrick Productions#Warner Bros. Pictures;GB#US;English#Vietnameese
783;22000000;22.625;2270;07.cze;77737889;191;30286;en;Drama#History;Goldcrest#Indo-British#International Film Investors#National Film Development Corporation of India#Columbia Pictures;IN#GB#US;English#Thai
98;103000000;552.149;18618;8.216;465361176;155;36650;en;Action#Drama#Adventure;Universal Pictures#Scott Free Productions#Red Wagon Entertainment#Mill Film#DreamWorks Pictures;GB#US;English
770;4000000;40.669;3999;07.wrz;402352579;233;14316;en;Drama#War#Romance;Selznick International Pictures#Metro-Goldwyn-Mayer;US;English
489;10000000;66.25;12321;08.lut;225900000;127;35769;en;Drama;Miramax#Lawrence Bender Productions#Be Gentlemen Limited Partnership;US;English
769;25000000;76.846;12847;08.maj;46800000;145;33128;en;Drama#Crime;Winkler Films;US;Italiano#English
13223;33000000;26.913;10646;8;270000000;116;39794;en;Drama;Matten Productions#Double Nickel Entertainment#Gerber Pictures#Malpaso Productions#Village Roadshow Pictures#WV Films IV#Warner Bros. Pictures;US#DE;English
137;14600000;39.209;7949;07.cze;71100000;101;34011;en;Romance#Fantasy#Drama#Comedy;Columbia Pictures;US;English#French#Italiano
12445;125000000;134.04;20487;8.094;1341511219;130;40736;en;Fantasy#Adventure;Warner Bros. Pictures#Heyday Films;GB#US;English
11787;0;20.369;605;07.lip;0;104;18601;en;Comedy#Fantasy;Universal International Pictures;US;English
949;60000000;58.111;7265;7.917;187400000;170;35048;en;Crime#Drama#Action;Warner Bros. Pictures#Regency Enterprises#Forward Pass;US;English#Espaniol
288;730000;24.703;1412;7.672;8000000;85;19154;en;Western#Thriller;Stanley Kramer Productions#United Artists;US;English#French#Italiano
205;17500000;33.299;2828;07.lip;38000000;121;38343;en;Drama#History#War;Lionsgate#United Artists#The Department of Trade. Industry and Competition of South Africa#Miracle Pictures#Seamus#Inside Track#Kiagli Releasing#Mikado Film#Metro-Goldwyn-Mayer;IT#ZA#GB#US;English#French
10191;165000000;199.107;12953;lip.83;494879471;98;40255;en;Fantasy#Adventure#Animation#Family;DreamWorks Animation;US;English
429;1200000;96.239;8601;08.maj;38900000;161;24463;it;Western;United Artists#PEA#Arturo González PC#Constantin Film;US#IT#ES#DE;Italiano
7984;13000000;19.611;1735;7.898;65796862;133;34315;en;Drama;Hell's Kitchen#Universal Pictures;GB#IE#US;English
46738;6800000;25.519;2723;08.sty;6788659;131;40438;fr;Drama#War#Mystery;TS Productions#Phi Group#micro_scope;CA#FR;French#Arabic#English
27205;160000000;192.511;36545;8.369;825532764;148;40374;en;Action#Science Fiction#Adventure;Legendary Pictures#Syncopy#Warner Bros. Pictures;GB#US;English#French#Chinese2#Kiswahili
89;48000000;50.35;10063;07.wrz;474171806;127;32652;en;Adventure#Action;Paramount Pictures#Lucasfilm Ltd.;US;Arabic#English#Deutsch#Russian2
10775;125000;22.603;1619;7.819;8708932;100;37602;cn;Drama#Action#Thriller#Crime#Mystery;Media Asia Films#Basic Pictures;HK;Chinese3#Chinese#Innuit
16869;70000000;102.965;22188;08.lut;321457747;153;40027;en;Drama#Thriller#War;The Weinstein Company#A Band Apart#Zehnte Babelsberg Film;DE#US;Deutsch#English#French#Italiano
5915;15000000;65.806;9476;7.802;56255142;148;39346;en;Adventure#Drama;River Road Entertainment#Paramount Vantage#The Linson Company#Square One C.I.H.;US;Dansk#English
77338;13000000;66.836;17179;08.mar;426590315;113;40849;fr;Drama#Comedy;Gaumont#Quad Productions#Chaocorp#Ten Films#TF1 Films Production;FR;English#French
3078;325000;21.699;1237;07.sie;4500000;105;12472;en;Comedy#Romance;Columbia Pictures;US;English
1585;3180000;79.213;4271;8.275;9644124;130;17156;en;Drama#Family#Fantasy;Liberty Films;US;English
103663;3800000;25.644;4160;08.sty;18300000;116;41073;da;Drama;Zentropa International Sweden#Zentropa Entertainments#Film i Väst;DK#SE;Dansk#Polski#English
578;7000000;66.195;10415;7.664;470653000;124;27565;en;Horror#Thriller#Adventure;Zanuck/Brown Productions#Universal Pictures;US;English
329;63000000;67.119;16241;7.952;920100000;127;34131;en;Adventure#Science Fiction;Universal Pictures#Amblin Entertainment;US;English#Espaniol
81;1000000;36.016;3555;07.wrz;9016411;117;30752;ja;Adventure#Animation#Fantasy;Topcraft;JP;Chinese2
24;30000000;50.542;17343;8;180906076;111;37904;en;Action#Crime;Miramax#A Band Apart#Super Cool ManChu;US;English#Chinese2#French
2118;35000000;37.921;4900;07.sie;126216940;138;35692;en;Crime#Mystery#Thriller;Regency Enterprises#Warner Bros. Pictures#Wolper Organization;US;English
947;15000000;33.238;2992;8;69995385;228;22991;en;Adventure#History#War;Horizon Pictures;GB;Arabic#English#Portugeese#Turkisch
87827;120000000;37.848;13003;07.kwi;609016565;127;41233;en;Adventure#Drama;Fox 2000 Pictures#Dune Entertainment#Ingenious Media#Haishang Films#Netter Productions#India Take One#Big Screen Productions;IN#TW#GB#US;English#French#Thai#Chinese2#Squiggly
100;1350000;16.791;6548;08.sty;28356188;105;36035;en;Comedy#Crime;Summit Entertainment#The Steve Tisch Company#SKA Films#PolyGram Filmed Entertainment#Handmade Films;GB#US;English
832;0;16.424;2169;8.084;35274;111;11454;de;Drama#Thriller#Crime;Nero-Film AG;DE;Deutsch
24238;8240000;50.338;1960;07.wrz;1740429;92;39912;en;Animation#Comedy#Drama;Melodrama Pictures;AU;English
77;9000000;48.66;14812;sie.18;40047236;113;36810;en;Mystery#Thriller;Newmarket Films#Summit Entertainment#Team Todd#I Remember Productions;US;English
19;5300000;34.833;2745;08.sty;1350322;148;9899;de;Drama#Science Fiction;UFA;DE;No Language
70;30000000;36.626;9496;8;216763646;132;38336;en;Drama;Lakeshore Entertainment#Malpaso Productions#Epsilon Motion Pictures#ASR Productions#Warner Bros. Pictures;CH#US;English#Gaeilge
3082;1500000;19.276;3683;8.292;1800000;87;13185;en;Comedy#Drama#Romance;Charles Chaplin Productions;US;English
128;23500000;54.977;7988;8.336;169000000;134;35623;ja;Adventure#Fantasy#Animation;Studio Ghibli#Nibariki#dentsu Music And Entertainment#TNDG#Tokuma Shoten#Nippon Television Network Corporation#dentsu;JP;Chinese2
585;115000000;122.532;18388;7.845;579700000;92;37196;en;Animation#Comedy#Family;Pixar;US;English
762;400000;38.272;5767;7.802;5028948;91;27467;en;Adventure#Comedy#Fantasy;Python (Monty) Pictures Limited#Michael White Productions#National Film Trustee Company;GB;French#Latin#English
583;4000000;27.559;4370;7.762;20700000;94;29084;en;Comedy;Handmade Films#Python (Monty) Pictures Limited;GB;English#Latin
3083;1500000;13.363;1037;07.wrz;9600000;129;14537;en;Comedy#Drama;Columbia Pictures;US;English
322;25000000;26.992;6612;7.741;156800000;138;37901;en;Thriller#Crime#Drama#Mystery;Warner Bros. Pictures#Village Roadshow Pictures#NPV Entertainment#Malpaso Productions;US;English
10774;3800000;17.372;1711;lip.81;23700000;122;28078;en;Drama;Metro-Goldwyn-Mayer;US;English
6977;25000000;51.898;11943;7.942;171627166;122;39246;en;Crime#Drama#Thriller;Miramax#Paramount Vantage#Scott Rudin Productions#Mike Zoss Productions;US;English#Espaniol
